71.24,28,3
52.53,25,3
64.54,27,3
55.69,22,3
54.58,25,3
41.91,10,2
58.64,20,3
52.02,8,4
31.25,34,5
44.31,19,2
49.35,40,5
58.07,45,3
44.22,22,5
55.73,19,3
46.63,43,5
52.97,32,3
46.25,35,5
51.55,27,3
57.05,26,3
58.45,30,3
43.42,23,5
55.68,37,3
55.15,18,3
43.84,22,5
59.26,32,3
37.14,41,5
64.3,29,3
45.75,16,2
45.97,23,5
56.04,39,3
33.64,45,5
41.67,33,5
50.68,39,5
54.22,35,3
56.2,29,3
46.16,41,5
50.22,24,3
49.66,33,5
38.61,37,5
55.28,36,3
57.87,41,3
61.69,12,4
37.41,21,5
53.83,32,3
62.98,22,3
46.97,13,2
58.03,24,3
59.87,36,3
81.34,31,3
48.56,26,3
17.66,23,2
46.01,21,3
45.34,26,5
39.64,31,5
51.22,36,5
36.21,31,5
47.32,55,5
54.87,27,3
58.97,6,4
57.3,42,3
59.94,32,3
61.72,25,3
53.19,23,3
35.13,38,5
48.47,20,3
51.17,43,5
42.14,39,5
54.31,35,3
48.93,32,5
53.51,44,5
51.72,24,3
49.86,10,4
49.2,41,5
60.2,39,3
54.06,20,3
72.91,30,3
61.92,40,3
44.2,24,5
60.75,39,3
68.36,37,3
56.39,20,3
38.19,15,2
66.19,27,3
58.2,17,3
47.55,22,3
37.62,16,2
17.81,26,5
31.25,29,5
61,41,3
40.98,33,5
53.69,24,3
51.46,9,4
64.57,29,3
53.79,23,3
64.28,34,3
38.41,24,5
58.89,42,3
44.17,33,5
50.41,43,5
63.63,28,3
45.78,24,5
55.61,20,3
67.23,5,4
49.69,38,5
54.6,30,3
40.94,59,5
43.84,36,5
56.36,19,3
69.53,23,3
51.48,19,3
52.93,41,5
55.52,8,4
52.14,23,3
62.86,21,3
37.53,33,5
63.47,25,3
62.11,33,3
43.52,25,5
47.97,27,5
42.27,37,5
56.05,30,3
62.08,37,3
35.25,53,5
39.81,25,5
60.27,33,3
53.41,22,3
56.28,27,3
53.31,25,3
55.24,30,3
44.97,29,5
40.3,43,5
47.18,42,5
46.4,34,5
35.11,15,2
54.33,38,3
54.59,64,5
61.67,50,3
52.39,19,3
52.37,6,4
40.84,25,5
27.42,27,5
44.79,31,5
59.84,37,3
36,45,5
47.64,10,2
51.85,37,5
59.73,15,4
42.96,37,5
51.84,27,3
59.62,23,3
58.82,30,3
50.93,30,3
41.35,23,5
24.58,45,5
57.74,22,3
38.14,33,5
51.82,20,3
41.37,17,2
55.01,24,3
64.56,53,3
46.09,35,5
57.81,20,3
46.31,23,5
66.62,37,3
42.89,17,2
40.82,23,5
50.55,41,5
40.43,40,5
53.36,25,3
44.83,27,5
35.87,35,5
46.95,23,5
47.75,20,3
57.12,26,3
38.03,43,5
54.31,45,5
50.29,39,5
33.6,24,5
45.13,44,5
31.68,31,5
72.36,4,4
48.43,55,5
44.48,36,5
56.54,20,3
54.11,50,5
49.51,29,3
50.66,36,5
61.82,23,3
50.45,15,4
67.7,43,3
41.61,12,2
39.63,31,5
36.08,31,5
45.18,27,5
49.33,28,3
48.66,45,5
53.81,25,3
35.57,44,5
48.83,39,5
69.14,40,3
60.75,59,5
52.01,39,5
47.88,45,5
40.3,30,5
48.52,30,5
55.06,37,3
48.45,28,5
58.65,40,3
69.29,21,3
51.7,21,3
69.95,18,3
53.04,37,3
47.97,27,5
64.01,26,3
61.76,23,3
49.98,28,3
81.96,27,3
56.56,25,3
51.69,30,3
54.83,40,3
54.97,39,3
44.07,27,5
45.95,40,5
42.24,22,5
43.52,49,5
51.33,31,3
56.68,55,5
51.06,24,3
41.95,28,5
53.56,27,3
47.86,45,5
43.74,34,5
41.22,39,5
45.82,42,5
44.74,25,5
53.88,30,3
44.4,29,5
59.01,35,3
53.27,19,3
45.62,25,5
53.16,53,5
50.91,51,5
33.53,42,5
46.92,33,5
59.24,35,3
48.37,32,5
50.26,21,3
38.14,30,5
63.42,26,3
57.46,14,4
63.79,33,3
58.13,30,3
56.35,41,3
52.95,3,4
55.65,27,3
29.44,34,5
49.58,39,5
31.3,33,5
43.48,29,5
48.94,34,5
43.93,32,5
53.83,36,3
53.69,21,3
60.33,8,4
40.97,42,5
49.29,21,3
56.06,34,3
66.16,32,3
32.61,23,5
37.37,25,5
46.04,38,5
57.17,33,3
41.06,31,5
47.21,36,5
55.74,44,5
56.34,25,3
61.53,11,4
61.4,38,3
59.03,29,3
26.76,22,2
48.24,34,5
50.84,33,5
64.25,28,3
23.06,15,2
47.25,23,3
59.19,33,3
32.71,17,2
48.87,25,3
58.68,24,3
51.16,25,3
49.48,34,5
16.05,36,5
53.49,51,5
57.19,19,3
49.38,37,5
38.82,16,2
49.88,37,5
48.81,30,5
58.86,42,3
45.22,39,5
49.25,25,3
71.53,49,3
49.41,38,5
63.19,21,3
48.68,22,3
50.11,34,5
43.56,24,5
49.36,23,3
23.03,21,2
36.14,30,5
37.48,26,5
46.35,35,5
41.54,27,5
66.05,36,3
47.09,27,5
33.84,35,5
41.45,37,5
56.09,9,4
54.66,34,3
53.23,47,5
53.51,33,3
48.56,37,5
35.91,30,5
58.04,28,3
37.16,19,2
42.45,16,2
62.65,41,3
51.42,35,5
46.31,22,3
51.36,33,3
63.62,41,3
56.54,39,3
48.58,36,5
30.37,37,5
51.75,37,5
61.68,24,3
56.54,33,3
41.22,13,2
46.08,35,5
53.21,39,3
57.95,21,3
53.4,45,5
50.32,40,5
62.06,37,3
32.9,36,5
43.48,15,2
47.76,25,3
41.61,4,2
28.72,37,5
53.37,40,5
37.81,34,5
48.7,46,5
53.23,40,5
43.47,33,5
64.55,30,3
59.34,38,3
29.92,49,5
45.67,39,5
44.99,36,5
51.07,13,4
57.87,38,3
57.9,34,3
45.41,32,5
66.97,33,3
49.37,40,5
49.54,21,3
51.73,61,5
29.68,30,5
66.12,38,3
52.68,30,3
50.32,46,5
63.2,40,3
45.12,25,5
38.69,22,5
50.77,32,3
48,23,3
55.36,47,5
53.11,48,5
38.51,28,5
38.96,21,5
27.4,30,5
34.95,35,5
68.86,31,3
60.4,28,3
37.33,38,5
59.63,24,3
33.92,43,5
43.98,6,2
53.74,31,3
45.51,33,5
55.09,19,3
68.87,18,3
58.44,19,3
43.75,19,2
47.07,33,5
47.89,28,5
53.3,41,5
57.02,37,3
43.44,31,5
38.49,21,5
61.08,24,3
62.52,41,3
60.04,34,3
53.63,20,3
44.96,46,5
