19,15,39,1
21,15,81,2
20,16,6,1
23,16,77,2
31,17,40,1
22,17,76,2
35,18,6,1
23,18,94,2
64,19,3,1
30,19,72,2
67,19,14,1
35,19,99,2
58,20,15,1
24,20,77,2
37,20,13,1
22,20,79,2
35,21,35,1
20,21,66,2
52,23,29,1
35,23,98,2
35,24,35,1
25,24,73,2
46,25,5,1
31,25,73,2
54,28,14,1
29,28,82,2
45,28,32,1
35,28,61,2
40,29,31,1
23,29,87,2
60,30,4,1
21,30,73,2
53,33,4,1
18,33,92,2
49,33,14,1
21,33,81,2
42,34,17,1
30,34,73,2
36,37,26,1
20,37,75,2
65,38,35,1
24,38,92,2
48,39,36,5
31,39,61,2
49,39,28,1
24,39,65,2
50,40,55,5
27,40,47,5
29,40,42,5
31,40,42,5
49,42,52,5
33,42,60,5
31,43,54,5
59,43,60,5
50,43,45,5
47,43,41,5
51,44,50,5
69,44,46,5
27,46,51,5
53,46,46,5
70,46,56,5
19,46,55,5
67,47,52,5
54,47,59,5
63,48,51,5
18,48,59,5
43,48,50,5
68,48,48,5
19,48,59,5
32,48,47,5
70,49,55,5
47,49,42,5
60,50,49,5
60,50,56,5
59,54,47,5
26,54,54,5
45,54,53,5
40,54,48,5
23,54,52,5
49,54,42,5
57,54,51,5
38,54,55,5
67,54,41,5
46,54,44,5
21,54,57,5
48,54,46,5
55,57,58,5
22,57,55,5
34,58,60,5
50,58,46,5
68,59,55,5
18,59,41,5
48,60,49,5
40,60,40,5
32,60,42,5
24,60,52,5
47,60,47,5
27,60,50,5
48,61,42,5
20,61,49,5
23,62,41,5
49,62,48,5
67,62,59,5
26,62,55,5
49,62,56,5
21,62,42,5
66,63,50,5
54,63,46,5
68,63,43,5
66,63,48,5
65,63,52,5
19,63,54,5
38,64,42,5
19,64,46,5
18,65,48,5
19,65,50,5
63,65,43,5
49,65,59,5
51,67,43,5
50,67,57,5
27,67,56,5
38,67,40,5
40,69,58,5
39,69,91,4
23,70,29,3
31,70,77,4
43,71,35,5
40,71,95,4
59,71,11,3
38,71,75,4
47,71,9,3
39,71,75,4
25,72,34,3
31,72,71,4
20,73,5,3
29,73,88,4
44,73,7,3
32,73,73,4
19,74,10,3
35,74,72,4
57,75,5,3
32,75,93,4
28,76,40,5
32,76,87,4
25,77,12,3
28,77,97,4
48,77,36,3
32,77,74,4
34,78,22,3
34,78,90,4
43,78,17,3
39,78,88,4
44,78,20,3
38,78,76,4
47,78,16,3
27,78,89,4
37,78,1,3
30,78,78,4
34,78,1,3
30,78,73,4
56,79,35,3
29,79,83,4
19,81,5,3
31,81,93,4
50,85,26,3
36,85,75,4
42,86,20,3
33,86,95,4
36,87,27,3
32,87,63,4
40,87,13,3
28,87,75,4
36,87,10,3
36,87,92,4
52,88,13,3
30,88,86,4
58,88,15,3
27,88,69,4
59,93,14,3
35,93,90,4
37,97,32,3
32,97,86,4
46,98,15,3
29,98,88,4
41,99,39,3
30,99,97,4
54,101,24,3
28,101,68,4
41,103,17,3
36,103,85,4
34,103,23,3
32,103,69,4
33,113,8,3
38,113,91,4
47,120,16,3
35,120,79,4
45,126,28,3
32,126,74,4
32,137,18,3
30,137,83,4
